epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.031,2.48947,3.8487,1.52818,0.002,0.29784,0.03711,0.01525,2.26862,4.2397,1.65691,0.000411111,0.000411111,0.000411111
2,1437.07,2.36836,2.52199,1.41641,0.55881,0.16641,0.15927,0.05526,2.36695,3.23398,1.67606,0.000786803,0.000786803,0.000786803
3,2120.22,2.29234,2.16023,1.37486,0.48385,0.22141,0.12933,0.04946,2.38871,4.96907,1.80607,0.00112124,0.00112124,0.00112124
4,2792.7,2.28243,1.97097,1.38666,0.53095,0.20513,0.17352,0.05918,2.45524,2.83032,1.90318,0.00106437,0.00106437,0.00106437
5,3486.49,2.23674,1.80656,1.36809,0.47855,0.26602,0.15981,0.05843,2.35825,3.13091,1.67649,0.0010025,0.0010025,0.0010025
6,4278,2.12587,1.64647,1.30227,0.51118,0.23565,0.19402,0.07174,2.32864,2.53326,1.68252,0.000940625,0.000940625,0.000940625
7,5136.36,2.10387,1.5817,1.28719,0.32235,0.33969,0.25482,0.09149,2.33428,2.33542,1.67631,0.00087875,0.00087875,0.00087875
8,5919.7,2.04298,1.50471,1.26994,0.64859,0.30957,0.30792,0.1156,2.2394,1.88097,1.55777,0.000816875,0.000816875,0.000816875
9,6696.92,1.99725,1.41334,1.23727,0.65657,0.33086,0.32906,0.12971,2.18197,1.77863,1.53053,0.000755,0.000755,0.000755
10,7480.58,1.9701,1.39389,1.21739,0.69981,0.31108,0.35525,0.13657,2.2798,1.76147,1.57594,0.000693125,0.000693125,0.000693125
11,8235.39,2.11361,1.66277,1.48899,0.682,0.36571,0.36598,0.14618,2.0819,1.77793,1.45448,0.00063125,0.00063125,0.00063125
12,8984.3,2.04846,1.52688,1.43764,0.76559,0.38484,0.43082,0.16989,2.10534,1.58895,1.46218,0.000569375,0.000569375,0.000569375
13,9725.43,2.03012,1.46537,1.41626,0.5746,0.47823,0.471,0.18848,2.08028,1.4563,1.45877,0.0005075,0.0005075,0.0005075
14,10463.4,1.9768,1.40303,1.39518,0.57927,0.48083,0.49148,0.20747,2.0576,1.40492,1.40055,0.000445625,0.000445625,0.000445625
15,11201.6,1.96651,1.34512,1.37419,0.63503,0.4449,0.49745,0.20798,2.05851,1.37679,1.41122,0.00038375,0.00038375,0.00038375
16,11941.3,1.92658,1.29797,1.34931,0.67728,0.48561,0.52004,0.21716,2.0228,1.33284,1.38936,0.000321875,0.000321875,0.000321875
17,12682.9,1.88199,1.248,1.33558,0.61906,0.50693,0.53734,0.22559,1.99633,1.31443,1.3826,0.00026,0.00026,0.00026
18,13426.4,1.86817,1.22319,1.31883,0.60447,0.52033,0.53953,0.23168,1.99625,1.26215,1.3867,0.000198125,0.000198125,0.000198125
19,14180.3,1.85763,1.18169,1.31864,0.63139,0.54492,0.56846,0.23787,1.98903,1.26739,1.36972,0.00013625,0.00013625,0.00013625
20,14923.7,1.79729,1.15403,1.28757,0.6326,0.54865,0.57416,0.24505,1.98827,1.21913,1.36853,7.4375e-05,7.4375e-05,7.4375e-05
